time,x,y,z
0.000,5.000,5.000,5.000
0.002,5.003,5.251,5.028
0.005,5.011,5.501,5.059
0.007,5.025,5.751,5.092
0.009,5.044,6.001,5.129
0.021,5.216,7.256,5.357
0.032,5.506,8.541,5.672
0.043,5.907,9.875,6.093
0.055,6.412,11.273,6.642
0.067,7.079,12.891,7.427
0.080,7.865,14.595,8.448
0.092,8.763,16.368,9.757
0.105,9.767,18.171,11.407
0.121,11.151,20.383,14.035
0.136,12.640,22.343,17.376
0.152,14.166,23.785,21.436
0.168,15.622,24.397,26.095
0.180,16.635,24.086,30.027
0.192,17.443,22.952,33.943
0.205,17.972,20.975,37.581
0.217,18.164,18.231,40.686
0.229,17.980,14.901,43.020
0.242,17.411,11.279,44.457
0.254,16.480,7.655,44.982
0.267,15.246,4.270,44.677
0.279,13.791,1.320,43.723
0.291,12.195,-1.100,42.321
0.304,10.537,-2.965,40.654
0.316,8.886,-4.325,38.893
0.329,7.237,-5.296,37.101
0.341,5.692,-5.907,35.401
0.354,4.276,-6.248,33.833
0.367,3.001,-6.403,32.411
0.387,1.310,-6.428,30.485
0.407,-0.070,-6.324,28.846
0.426,-1.182,-6.198,27.440
0.446,-2.074,-6.116,26.224
0.470,-2.928,-6.115,24.979
0.493,-3.614,-6.241,23.923
0.517,-4.182,-6.503,23.045
0.540,-4.698,-6.901,22.331
0.560,-5.134,-7.335,21.856
0.580,-5.578,-7.855,21.516
0.599,-6.040,-8.453,21.325
0.619,-6.533,-9.115,21.294
0.643,-7.171,-9.963,21.489
0.667,-7.857,-10.836,21.969
0.690,-8.577,-11.671,22.754
0.714,-9.310,-12.387,23.839
0.744,-10.203,-12.987,25.591
0.774,-10.945,-13.051,27.588
0.804,-11.418,-12.463,29.561
0.834,-11.536,-11.266,31.219
0.858,-11.339,-9.985,32.119
0.882,-10.898,-8.598,32.541
0.906,-10.255,-7.260,32.481
0.930,-9.480,-6.090,31.997
0.956,-8.589,-5.106,31.135
0.981,-7.715,-4.436,30.032
1.007,-6.924,-4.074,28.789
1.033,-6.260,-3.959,27.516
1.058,-5.757,-4.020,26.321
1.083,-5.395,-4.229,25.180
1.108,-5.174,-4.562,24.119
1.132,-5.087,-5.002,23.158
1.161,-5.141,-5.625,22.211
1.189,-5.352,-6.376,21.450
1.218,-5.719,-7.254,20.915
1.246,-6.229,-8.256,20.655
1.274,-6.869,-9.368,20.723
1.303,-7.637,-10.542,21.188
1.331,-8.507,-11.688,22.106
1.360,-9.427,-12.672,23.490
1.383,-10.181,-13.248,24.976
1.407,-10.858,-13.475,26.678
1.431,-11.393,-13.266,28.464
1.454,-11.722,-12.594,30.163
1.478,-11.794,-11.490,31.578
1.501,-11.586,-10.108,32.555
1.525,-11.111,-8.623,33.013
1.549,-10.421,-7.175,32.948
1.574,-9.544,-5.836,32.402
1.599,-8.600,-4.803,31.477
1.624,-7.677,-4.107,30.288
1.649,-6.840,-3.719,28.988
1.672,-6.166,-3.573,27.759
1.696,-5.622,-3.605,26.546
1.719,-5.214,-3.781,25.382
1.743,-4.942,-4.070,24.289
1.774,-4.772,-4.602,22.975
1.806,-4.814,-5.289,21.845
1.837,-5.062,-6.127,20.937
1.868,-5.494,-7.131,20.307
1.897,-6.050,-8.232,20.027
1.927,-6.764,-9.466,20.121
1.956,-7.627,-10.779,20.666
1.985,-8.603,-12.067,21.730
2.008,-9.421,-12.969,22.969
2.032,-10.232,-13.632,24.540
2.055,-10.977,-13.934,26.371
2.078,-11.583,-13.779,28.325
2.101,-11.980,-13.102,30.214
2.125,-12.103,-11.970,31.812
2.148,-11.919,-10.514,32.943
2.171,-11.446,-8.879,33.517
2.192,-10.817,-7.415,33.547
2.213,-10.045,-6.100,33.163
2.234,-9.194,-5.012,32.441
2.255,-8.323,-4.187,31.489
2.277,-7.430,-3.584,30.330
2.299,-6.622,-3.238,29.093
2.321,-5.928,-3.108,27.838
2.344,-5.365,-3.143,26.609
2.370,-4.868,-3.340,25.214
2.397,-4.549,-3.676,23.912
2.423,-4.399,-4.127,22.724
2.450,-4.402,-4.686,21.667
2.477,-4.551,-5.378,20.741
2.504,-4.845,-6.198,20.002
2.531,-5.286,-7.153,19.487
2.559,-5.867,-8.251,19.249
2.586,-6.584,-9.485,19.347
2.613,-7.439,-10.815,19.863
2.640,-8.412,-12.155,20.870
2.667,-9.459,-13.361,22.410
2.689,-10.302,-14.099,24.020
2.711,-11.089,-14.496,25.904
2.733,-11.756,-14.443,27.945
2.754,-12.233,-13.879,29.974
2.776,-12.457,-12.796,31.780
2.798,-12.384,-11.325,33.167
2.820,-12.006,-9.641,34.008
2.841,-11.361,-7.902,34.261
2.862,-10.549,-6.336,33.993
2.883,-9.619,-5.014,33.310
2.904,-8.646,-3.993,32.318
2.925,-7.693,-3.277,31.146
2.946,-6.799,-2.822,29.882
2.968,-6.012,-2.594,28.589
2.989,-5.349,-2.549,27.311
3.010,-4.818,-2.639,26.076
3.038,-4.324,-2.899,24.571
3.065,-4.026,-3.286,23.178
3.092,-3.910,-3.779,21.912
3.120,-3.955,-4.380,20.789
3.152,-4.184,-5.248,19.685
3.184,-4.617,-6.306,18.850
3.216,-5.269,-7.574,18.352
3.249,-6.125,-9.072,18.300
3.277,-7.029,-10.550,18.718
3.305,-8.087,-12.103,19.689
3.333,-9.266,-13.580,21.299
3.361,-10.481,-14.736,23.560
3.381,-11.303,-15.197,25.524
3.401,-12.019,-15.222,27.661
3.421,-12.560,-14.735,29.816
3.441,-12.867,-13.728,31.805
3.461,-12.894,-12.258,33.425
3.481,-12.620,-10.500,34.530
3.501,-12.061,-8.645,35.051
3.521,-11.267,-6.853,34.995
3.543,-10.215,-5.132,34.387
3.565,-9.070,-3.784,33.345
3.587,-7.929,-2.842,32.010
3.608,-6.864,-2.262,30.557
3.629,-5.977,-1.968,29.194
3.650,-5.219,-1.867,27.846
3.670,-4.596,-1.912,26.542
3.691,-4.109,-2.059,25.296
3.717,-3.665,-2.354,23.799
3.743,-3.404,-2.742,22.415
3.770,-3.308,-3.209,21.148
3.796,-3.354,-3.762,20.009
3.824,-3.537,-4.473,18.951
3.852,-3.868,-5.323,18.075
3.880,-4.354,-6.339,17.418
3.908,-4.995,-7.551,17.038
3.936,-5.796,-8.977,17.010
3.964,-6.780,-10.607,17.451
3.992,-7.942,-12.368,18.485
4.020,-9.248,-14.089,20.234
4.040,-10.191,-15.114,21.887
4.059,-11.125,-15.865,23.896
4.078,-11.992,-16.210,26.189
4.097,-12.723,-16.037,28.632
4.117,-13.248,-15.264,31.035
4.136,-13.492,-13.930,33.156
4.155,-13.409,-12.151,34.789
4.174,-13.000,-10.085,35.806
4.192,-12.369,-8.141,36.154
4.209,-11.538,-6.316,35.986
4.227,-10.565,-4.724,35.381
4.244,-9.516,-3.430,34.456
4.263,-8.372,-2.382,33.242
4.282,-7.274,-1.666,31.897
4.301,-6.268,-1.237,30.504
4.320,-5.381,-1.024,29.123
4.342,-4.507,-0.963,27.556
4.364,-3.810,-1.049,26.062
4.386,-3.277,-1.231,24.652
4.408,-2.894,-1.474,23.327
4.436,-2.587,-1.846,21.787
4.464,-2.453,-2.275,20.373
4.492,-2.477,-2.763,19.087
4.519,-2.627,-3.340,17.934
4.544,-2.847,-3.955,17.038
4.568,-3.166,-4.684,16.269
4.593,-3.592,-5.552,15.650
4.617,-4.132,-6.587,15.216
4.647,-4.974,-8.124,15.008
4.677,-6.045,-9.991,15.295
4.708,-7.364,-12.146,16.266
4.738,-8.916,-14.406,18.144
4.756,-9.933,-15.679,19.793
4.774,-10.977,-16.743,21.858
4.792,-11.996,-17.452,24.307
4.810,-12.924,-17.659,27.037
4.828,-13.685,-17.226,29.886
4.846,-14.188,-16.111,32.590
4.864,-14.360,-14.364,34.892
4.882,-14.171,-12.125,36.589
4.898,-13.696,-9.895,37.479
4.915,-12.957,-7.668,37.756
4.931,-12.007,-5.611,37.475
4.947,-10.911,-3.838,36.745
4.964,-9.663,-2.326,35.628
4.981,-8.406,-1.208,34.293
4.999,-7.202,-0.451,32.848
5.016,-6.093,0.015,31.387
5.035,-5.000,0.290,29.806
5.054,-4.068,0.376,28.290
5.073,-3.293,0.338,26.855
5.093,-2.667,0.229,25.501
5.116,-2.084,0.046,23.966
5.139,-1.663,-0.158,22.532
5.162,-1.376,-0.365,21.192
5.185,-1.193,-0.572,19.936
5.210,-1.078,-0.801,18.685
5.235,-1.040,-1.039,17.518
5.259,-1.072,-1.293,16.432
5.284,-1.158,-1.584,15.423
5.308,-1.287,-1.930,14.505
5.333,-1.470,-2.345,13.663
5.357,-1.714,-2.849,12.901
5.381,-2.029,-3.473,12.230
5.414,-2.576,-4.529,11.510
5.446,-3.314,-5.940,11.033
5.478,-4.294,-7.806,10.924
5.510,-5.590,-10.193,11.396
5.531,-6.635,-12.033,12.158
5.552,-7.853,-14.070,13.428
5.573,-9.238,-16.199,15.341
5.594,-10.754,-18.215,18.019
5.610,-11.946,-19.487,20.596
5.626,-13.119,-20.341,23.623
5.641,-14.203,-20.592,26.996
5.657,-15.112,-20.088,30.522
5.673,-15.755,-18.727,33.933
5.689,-16.042,-16.580,36.898
5.705,-15.915,-13.829,39.142
5.721,-15.372,-10.710,40.505
5.735,-14.578,-7.910,40.937
5.748,-13.534,-5.293,40.716
5.762,-12.307,-3.004,39.958
5.776,-10.968,-1.123,38.818
5.791,-9.543,0.378,37.411
5.805,-8.137,1.465,35.888
5.819,-6.799,2.197,34.340
5.834,-5.562,2.651,32.835
5.852,-4.190,2.948,31.067
5.870,-3.011,3.041,29.432
5.887,-2.019,3.017,27.928
5.905,-1.199,2.942,26.545
5.926,-0.429,2.847,25.069
5.947,0.180,2.780,23.712
5.968,0.663,2.767,22.461
5.988,1.058,2.821,21.301
6.011,1.434,2.959,20.131
6.034,1.770,3.193,19.059
6.056,2.088,3.532,18.086
6.079,2.421,3.980,17.214
6.101,2.786,4.526,16.468
6.123,3.198,5.198,15.838
6.145,3.674,6.016,15.347
6.167,4.232,6.992,15.021
6.193,5.010,8.332,14.903
6.218,5.946,9.918,15.156
6.244,7.052,11.725,15.899
6.270,8.331,13.655,17.269
6.289,9.421,15.121,18.840
6.309,10.565,16.416,20.913
6.329,11.709,17.358,23.477
6.349,12.769,17.749,26.426
6.368,13.649,17.393,29.575
6.388,14.229,16.218,32.578
6.408,14.410,14.290,35.093
6.428,14.156,11.780,36.873
6.444,13.625,9.501,37.664
6.460,12.834,7.259,37.836
6.476,11.839,5.217,37.455
6.493,10.708,3.482,36.640
6.510,9.447,2.036,35.468
6.527,8.189,0.980,34.101
6.544,6.993,0.278,32.646
6.561,5.898,-0.147,31.185
6.580,4.808,-0.392,29.584
6.600,3.883,-0.454,28.056
6.619,3.120,-0.400,26.612
6.639,2.508,-0.280,25.252
6.662,1.945,-0.095,23.722
6.685,1.540,0.108,22.294
6.709,1.267,0.308,20.958
6.732,1.093,0.505,19.707
6.756,0.985,0.717,18.487
6.780,0.948,0.935,17.348
6.805,0.974,1.166,16.285
6.829,1.049,1.430,15.296
6.853,1.166,1.748,14.371
6.878,1.333,2.131,13.520
6.902,1.558,2.597,12.746
6.927,1.848,3.174,12.057
6.959,2.351,4.148,11.305
6.991,3.029,5.455,10.769
7.023,3.935,7.194,10.556
7.056,5.141,9.447,10.851
7.077,6.145,11.252,11.461
7.098,7.330,13.297,12.547
7.120,8.698,15.499,14.255
7.141,10.227,17.680,16.733
7.157,11.449,19.144,19.178
7.173,12.683,20.256,22.127
7.189,13.859,20.813,25.508
7.206,14.890,20.631,29.150
7.222,15.680,19.557,32.800
7.238,16.123,17.608,36.095
7.254,16.141,14.929,38.711
7.270,15.717,11.749,40.436
7.284,15.016,8.881,41.126
7.297,14.044,6.135,41.123
7.311,12.860,3.677,40.528
7.325,11.537,1.613,39.493
7.339,10.107,-0.063,38.143
7.353,8.674,-1.306,36.636
7.368,7.294,-2.165,35.077
7.382,6.005,-2.718,33.545
7.399,4.603,-3.093,31.795
7.416,3.381,-3.244,30.168
7.433,2.338,-3.257,28.671
7.450,1.463,-3.201,27.295
7.470,0.615,-3.109,25.797
7.490,-0.061,-3.032,24.426
7.511,-0.600,-3.000,23.163
7.531,-1.040,-3.031,21.996
7.554,-1.474,-3.152,20.751
