Vs,Vr,Vl,I
0.5877853,0.0293945,0.5583908,0.0293945
0.9510565,0.1026147,0.8484418,0.1026147
0.9510565,0.1864540,0.7646025,0.1864540
0.5877853,0.2441482,0.3436371,0.2441482
0.0000000,0.2493706,-0.2493706,0.2493706
-0.5877853,0.1962454,-0.7840306,0.1962454
-0.9510565,0.1015527,-1.0526092,0.1015527
-0.9510565,-0.0017157,-0.9493408,-0.0017157
-0.5877853,-0.0769901,-0.5107952,-0.0769901
0.0000000,-0.0981197,0.0981197,-0.0981197
0.5877853,-0.0593879,0.6471731,-0.0593879
0.9510565,0.0222811,0.9287754,0.0222811
0.9510565,0.1137652,0.8372913,0.1137652
0.5877853,0.1783766,0.4094087,0.1783766
0.0000000,0.1898580,-0.1898580,0.1898580
-0.5877853,0.1423962,-0.7301814,0.1423962
-0.9510565,0.0528279,-1.0038844,0.0528279
-0.9510565,-0.0458037,-0.9052528,-0.0458037
-0.5877853,-0.1168825,-0.4709027,-0.1168825
0.0000000,-0.1342159,0.1342159,-0.1342159
0.5877853,-0.0920491,0.6798344,-0.0920491
0.9510565,-0.0072720,0.9583285,-0.0072720
0.9510565,0.0870244,0.8640321,0.0870244
0.5877853,0.1541806,0.4336047,0.1541806
0.0000000,0.1679646,-0.1679646,0.1679646
-0.5877853,0.1225861,-0.7103714,0.1225861
-0.9510565,0.0349030,-0.9859596,0.0349030
-0.9510565,-0.0620228,-0.8890337,-0.0620228
-0.5877853,-0.1315582,-0.4562271,-0.1315582
0.0000000,-0.1474950,0.1474950,-0.1474950
0.5877853,-0.1040645,0.6918497,-0.1040645
0.9510565,-0.0181440,0.9692005,-0.0181440
0.9510565,0.0771871,0.8738694,0.0771871
0.5877853,0.1452794,0.4425059,0.1452794
0.0000000,0.1599104,-0.1599104,0.1599104
-0.5877853,0.1152984,-0.7030837,0.1152984
-0.9510565,0.0283088,-0.9793654,0.0283088
-0.9510565,-0.0679895,-0.8830670,-0.0679895
-0.5877853,-0.1369570,-0.4508282,-0.1369570
0.0000000,-0.1523801,0.1523801,-0.1523801
0.5877853,-0.1084847,0.6962700,-0.1084847
0.9510565,-0.0221435,0.9732000,-0.0221435
