Vs,Vr,Vl,I
-0.5877853,0.1225861,-0.7103714,0.1225861
-0.5877853,-0.0769901,-0.5107952,-0.0769901
1,0.32968,0.67032,0.32968
0,-0.008633,0.008633,-0.008633
0,0.1569474,-0.1569474,0.1569474
1,0.0951626,0.9048374,0.0951626
0,-0.0007832,0.0007832,-0.0007832
-0.9510565,0.0283088,-0.9793654,0.0283088
1,0.9399863,0.0600137,0.9399863
0,0.0028737,-0.0028737,0.0028737
-0.5877853,-0.136957,-0.4508282,-0.136957
1,0.5099176,0.4900824,0.5099176
0,0.0637894,-0.0637894,0.0637894
0,-0.0095409,0.0095409,-0.0095409
1,0.9836443,0.0163557,0.9836443
0,0.0157303,-0.0157303,0.0157303
0,-0.0173846,0.0173846,-0.0173846
0,0.0009566,-0.0009566,0.0009566
0.9510565,0.1137652,0.8372913,0.1137652
0,0.0116533,-0.0116533,0.0116533
-0.9510565,0.025883,-0.9769395,0.025883
0,0.0234668,-0.0234668,0.0234668
0,0.0937991,-0.0937991,0.0937991
0,0.0779125,-0.0779125,0.0779125
0,-0.057719,0.057719,-0.057719
0,0.2817881,-0.2817881,0.2817881
0,-0.0070681,0.0070681,-0.0070681
1,0.7310371,0.2689629,0.7310371
0,0.103664,-0.103664,0.103664
0,-0.0704982,0.0704982,-0.0704982
0,-0.0128789,0.0128789,-0.0128789
0,-0.1541772,0.1541772,-0.1541772
0,0.0155049,-0.0155049,0.0155049
1,0.9456973,0.0543027,0.9456973
-0.5877853,0.1423962,-0.7301814,0.1423962
1,0.1070116,0.8929884,0.1070116
1,0.9878834,0.0121166,0.9878834
0,0.0012912,-0.0012912,0.0012912
1,0.401412,0.598588,0.401412
0,0.056892,-0.056892,0.056892
0,-0.0023528,0.0023528,-0.0023528
0,0.0427593,-0.0427593,0.0427593
0,0.2307086,-0.2307086,0.2307086
0,0.1709131,-0.1709131,0.1709131
0,0.0259348,-0.0259348,0.0259348
0,0.0078114,-0.0078114,0.0078114
1,0.4583752,0.5416248,0.4583752
0,-0.0008655,0.0008655,-0.0008655
0,0.0105443,-0.0105443,0.0105443
0,-0.0035099,0.0035099,-0.0035099
0,0.0212336,-0.0212336,0.0212336
0,0.004287,-0.004287,0.004287
0,0.0231306,-0.0231306,0.0231306
0,0.0286624,-0.0286624,0.0286624
0,0.0035099,-0.0035099,0.0035099
0,0.0070681,-0.0070681,0.0070681
1,0.91047,0.08953,0.91047
-0.5877853,0.1126174,-0.7004027,0.1126174
-0.9510565,-0.0017157,-0.9493408,-0.0017157
0,0,0,0
1,0.9555407,0.0444593,0.9555407
0,0.0042256,-0.0042256,0.0042256
0,-0.0012912,0.0012912,-0.0012912
0.9510565,-0.0221435,0.9732,-0.0221435
1,0.9800232,0.0199768,0.9800232
0,0.0381359,-0.0381359,0.0381359
0,0.0465793,-0.0465793,0.0465793
0,-0.0472563,0.0472563,-0.0472563
-0.9510565,-0.0620228,-0.8890337,-0.0620228
1,0.85239,0.14761,0.85239
0,-0.0637894,0.0637894,-0.0637894
1,0.8906478,0.1093522,0.8906478
1,0.9597716,0.0402284,0.9597716
0,-0.001743,0.001743,-0.001743
0,0.0861067,-0.0861067,0.0861067
0,0.0031759,-0.0031759,0.0031759
0,-0.0316769,0.0316769,-0.0316769
-0.9510565,-0.0701845,-0.880872,-0.0701845
1,0.9266991,0.0733009,0.9266991
0,-0.0063955,0.0063955,-0.0063955
0.9510565,0.1026147,0.8484418,0.1026147
0,0.0094042,-0.0094042,0.0094042
0,-0.0861067,0.0861067,-0.0861067
0,-0.0116533,0.0116533,-0.0116533
0.5877853,-0.1040645,0.6918497,-0.1040645
0,-0.0010572,0.0010572,-0.0010572
1,0.7566323,0.2433677,0.7566323
0,0.0316769,-0.0316769,0.0316769
0,-0.0015771,0.0015771,-0.0015771
0,0.051478,-0.051478,0.051478
1,0.70275,0.29725,0.70275
1,0.9756002,0.0243998,0.9756002
0,0.0021289,-0.0021289,0.0021289
0,0.1599104,-0.1599104,0.1599104
0,0.0345068,-0.0345068,0.0345068
0,-0.0157303,0.0157303,-0.0157303
0.5877853,0.0293945,0.5583908,0.0293945
0.5877853,0.1452794,0.4425059,0.1452794
1,0.8368657,0.1631343,0.8368657
0,0.0114863,-0.0114863,0.0114863
0,0.0063038,-0.0063038,0.0063038
0,0.0052362,-0.0052362,0.0052362
0,0.0007832,-0.0007832,0.0007832
0,-0.0021289,0.0021289,-0.0021289
0,-0.0052362,0.0052362,-0.0052362
0,-0.003879,0.003879,-0.003879
0.9510565,0.186454,0.7646025,0.186454
1,0.6714879,0.3285121,0.6714879
0,0.057719,-0.057719,0.057719
0,-0.0142333,0.0142333,-0.0142333
0,0.0057039,-0.0057039,0.0057039
0,0.0386902,-0.0386902,0.0386902
0,0.001743,-0.001743,0.001743
-0.9510565,0.1015527,-1.0526092,0.1015527
0,-0.1523801,0.1523801,-0.1523801
1,0.9635998,0.0364002,0.9635998
0.9510565,0.0222811,0.9287754,0.0222811
1,0,1,0
0.9510565,-0.007272,0.9583285,-0.007272
0,0.00467,-0.00467,0.00467
0.5877853,-0.1084847,0.69627,-0.1084847
0,0.0173846,-0.0173846,0.0173846
-0.5877853,-0.1315582,-0.4562271,-0.1315582
1,0.2591818,0.7408182,0.2591818
0,0.001427,-0.001427,0.001427
0,-0.0078114,0.0078114,-0.0078114
0.5877853,0.1541806,0.4336047,0.1541806
1,0.9010541,0.0989459,0.9010541
0,-0.0031759,0.0031759,-0.0031759
0,0.0209294,-0.0209294,0.0209294
1,0.9866091,0.0133909,0.9866091
-0.5877853,-0.1389432,-0.4488421,-0.1389432
0,0.0085093,-0.0085093,0.0085093
0,0.003879,-0.003879,0.003879
1,0.5987545,0.4012455,0.5987545
0,0.0189377,-0.0189377,0.0189377
0,0.0026002,-0.0026002,0.0026002
0,0.0350084,-0.0350084,0.0350084
0,0.1888882,-0.1888882,0.1888882
0,-0.019213,0.019213,-0.019213
1,0.9189899,0.0810101,0.9189899
0.9510565,0.0870244,0.8640321,0.0870244
0.9510565,0.0735681,0.8774884,0.0735681
0,0.3803741,-0.3803741,0.3803741
1,0.9730341,0.0269659,0.9730341
0,0.0095409,-0.0095409,0.0095409
1,0.9779222,0.0220778,0.9779222
0,0.1266155,-0.1266155,0.1266155
0,-0.004287,0.004287,-0.004287
1,0.9701981,0.0298019,0.9701981
1,0.9890365,0.0109635,0.9890365
0,0.2549724,-0.2549724,0.2549724
