,Vs,Vr,Vl,I,
1,-0.5877853,0.1225861,-0.7103714,0.1225861,26
2,-0.5877853,-0.0769901,-0.5107952,-0.0769901,9
2,1,0.32968,0.67032,0.32968,102
2,0,-0.008633,0.008633,-0.008633,226
4,0,0.1569474,-0.1569474,0.1569474,45
5,1,0.0951626,0.9048374,0.0951626,99
5,0,-0.0007832,0.0007832,-0.0007832,250
6,-0.9510565,0.0283088,-0.9793654,0.0283088,37
6,1,0.9399863,0.0600137,0.9399863,80
6,0,0.0028737,-0.0028737,0.0028737,186
7,-0.5877853,-0.136957,-0.4508282,-0.136957,39
8,1,0.5099176,0.4900824,0.5099176,59
8,0,0.0637894,-0.0637894,0.0637894,155
9,0,-0.0095409,0.0095409,-0.0095409,225
12,1,0.9836443,0.0163557,0.9836443,93
12,0,0.0157303,-0.0157303,0.0157303,169
12,0,-0.0173846,0.0173846,-0.0173846,219
13,0,0.0009566,-0.0009566,0.0009566,197
14,0.9510565,0.1137652,0.8372913,0.1137652,13
15,0,0.0116533,-0.0116533,0.0116533,172
17,-0.9510565,0.025883,-0.9769395,0.025883,47
18,0,0.0234668,-0.0234668,0.0234668,165
19,0,0.0937991,-0.0937991,0.0937991,117
19,0,0.0779125,-0.0779125,0.0779125,153
19,0,-0.057719,0.057719,-0.057719,207
20,0,0.2817881,-0.2817881,0.2817881,106
21,0,-0.0070681,0.0070681,-0.0070681,228
22,1,0.7310371,0.2689629,0.7310371,65
23,0,0.103664,-0.103664,0.103664,116
23,0,-0.0704982,0.0704982,-0.0704982,205
23,0,-0.0128789,0.0128789,-0.0128789,222
25,0,-0.1541772,0.1541772,-0.1541772,50
25,0,0.0155049,-0.0155049,0.0155049,135
26,1,0.9456973,0.0543027,0.9456973,81
28,-0.5877853,0.1423962,-0.7301814,0.1423962,16
28,1,0.1070116,0.8929884,0.1070116,53
28,1,0.9878834,0.0121166,0.9878834,96
28,0,0.0012912,-0.0012912,0.0012912,194
29,1,0.401412,0.598588,0.401412,57
31,0,0.056892,-0.056892,0.056892,122
31,0,-0.0023528,0.0023528,-0.0023528,239
33,0,0.0427593,-0.0427593,0.0427593,159
34,0,0.2307086,-0.2307086,0.2307086,108
34,0,0.1709131,-0.1709131,0.1709131,111
34,0,0.0259348,-0.0259348,0.0259348,164
34,0,0.0078114,-0.0078114,0.0078114,176
35,1,0.4583752,0.5416248,0.4583752,58
35,0,-0.0008655,0.0008655,-0.0008655,249
36,0,0.0105443,-0.0105443,0.0105443,173
36,0,-0.0035099,0.0035099,-0.0035099,235
41,0,0.0212336,-0.0212336,0.0212336,166
41,0,0.004287,-0.004287,0.004287,182
42,0,0.0231306,-0.0231306,0.0231306,131
42,0,0.0286624,-0.0286624,0.0286624,163
42,0,0.0035099,-0.0035099,0.0035099,184
43,0,0.0070681,-0.0070681,0.0070681,177
44,1,0.91047,0.08953,0.91047,76
45,-0.5877853,0.1126174,-0.7004027,0.1126174,46
48,-0.9510565,-0.0017157,-0.9493408,-0.0017157,8
50,0,0,0,0,200
52,1,0.9555407,0.0444593,0.9555407,83
53,0,0.0042256,-0.0042256,0.0042256,148
54,0,-0.0012912,0.0012912,-0.0012912,245
55,0.9510565,-0.0221435,0.9732,-0.0221435,42
56,1,0.9800232,0.0199768,0.9800232,91
57,0,0.0381359,-0.0381359,0.0381359,126
59,0,0.0465793,-0.0465793,0.0465793,124
61,0,-0.0472563,0.0472563,-0.0472563,209
64,-0.9510565,-0.0620228,-0.8890337,-0.0620228,28
64,1,0.85239,0.14761,0.85239,71
64,0,-0.0637894,0.0637894,-0.0637894,206
65,1,0.8906478,0.1093522,0.8906478,74
66,1,0.9597716,0.0402284,0.9597716,84
66,0,-0.001743,0.001743,-0.001743,242
67,0,0.0861067,-0.0861067,0.0861067,152
67,0,0.0031759,-0.0031759,0.0031759,185
68,0,-0.0316769,0.0316769,-0.0316769,213
69,-0.9510565,-0.0701845,-0.880872,-0.0701845,48
69,1,0.9266991,0.0733009,0.9266991,78
69,0,-0.0063955,0.0063955,-0.0063955,229
70,0.9510565,0.1026147,0.8484418,0.1026147,2
72,0,0.0094042,-0.0094042,0.0094042,140
72,0,-0.0861067,0.0861067,-0.0861067,203
72,0,-0.0116533,0.0116533,-0.0116533,223
73,0.5877853,-0.1040645,0.6918497,-0.1040645,31
77,0,-0.0010572,0.0010572,-0.0010572,247
78,1,0.7566323,0.2433677,0.7566323,66
80,0,0.0316769,-0.0316769,0.0316769,162
80,0,-0.0015771,0.0015771,-0.0015771,243
81,0,0.051478,-0.051478,0.051478,123
83,1,0.70275,0.29725,0.70275,64
84,1,0.9756002,0.0243998,0.9756002,89
85,0,0.0021289,-0.0021289,0.0021289,189
86,0,0.1599104,-0.1599104,0.1599104,35
86,0,0.0345068,-0.0345068,0.0345068,127
86,0,-0.0157303,0.0157303,-0.0157303,220
87,0.5877853,0.0293945,0.5583908,0.0293945,1
87,0.5877853,0.1452794,0.4425059,0.1452794,34
88,1,0.8368657,0.1631343,0.8368657,70
90,0,0.0114863,-0.0114863,0.0114863,138
91,0,0.0063038,-0.0063038,0.0063038,144
92,0,0.0052362,-0.0052362,0.0052362,180
93,0,0.0007832,-0.0007832,0.0007832,199
93,0,-0.0021289,0.0021289,-0.0021289,240
95,0,-0.0052362,0.0052362,-0.0052362,231
95,0,-0.003879,0.003879,-0.003879,234
97,0.9510565,0.186454,0.7646025,0.186454,3
97,1,0.6714879,0.3285121,0.6714879,63
97,0,0.057719,-0.057719,0.057719,156
97,0,-0.0142333,0.0142333,-0.0142333,221
98,0,0.0057039,-0.0057039,0.0057039,145
98,0,0.0386902,-0.0386902,0.0386902,160
99,0,0.001743,-0.001743,0.001743,191
102,-0.9510565,0.1015527,-1.0526092,0.1015527,7
102,0,-0.1523801,0.1523801,-0.1523801,40
102,1,0.9635998,0.0364002,0.9635998,85
107,0.9510565,0.0222811,0.9287754,0.0222811,12
107,1,0,1,0,150
111,0.9510565,-0.007272,0.9583285,-0.007272,22
