,Income2014,Income2016,Employ2014,Employ2016,BirthWeight2014,BirthWeight2016,Death2014,Death2016,Stage4Capped2014,Stage4Capped2016,Violence2014,Violence2016,Theft2014,Theft2016,clus_labels,Matched Neuron,Selection
1,24,22,20,16,6.8,6.4,1234.4,1225.7,299,323,1.54,2.09,0.78,0.82,4,25,
2,18,17,15,12,5.4,5.4,1132.7,1118,316,339,1.23,1.73,0.66,0.44,3,22,5
3,20,19,16,13,5.8,5.8,1139.4,1118.4,316,331,1.24,1.77,0.59,0.59,3,24,
4,18,17,12,9,5.5,5.3,1028.6,1017.6,317,333,1.66,2.13,1.52,1.16,6,10,
5,16,15,13,11,5.5,5.4,1065.2,1045.3,332,351,0.97,1.16,0.24,0.16,1,11,
6,12,12,9,7,4.5,4.4,889,879.1,341,359,0.76,1.05,0.13,0.12,2,1,
7,16,16,13,10,5.4,5.3,981.5,968.1,340,353,1.31,1.59,0.34,0.25,5,7,1
8,18,18,14,11,6.1,5.9,1058.4,1075,336,352,1.64,2.09,0.33,0.3,1,5,
9,14,13,10,8,5.4,5.4,1023.3,1000.3,334,350,0.99,1.28,0.37,0.33,6,1,
10,14,13,10,8,4.9,4.9,984.2,963.6,344,362,1.25,1.55,0.29,0.23,5,1,
11,17,16,13,10,5.6,5.4,995.4,984.8,339,361,1.06,1.35,0.23,0.18,5,11,
12,22,21,19,15,6.7,6.6,1189.3,1157,306,340,1.35,1.96,0.9,0.88,4,25,
13,11,11,9,7,4.9,5,896.7,878.6,344,354,0.8,1.21,0.47,0.49,2,1,3
14,20,20,17,14,5.3,5,1119.3,1121,338,356,1.05,1.56,0.62,0.48,3,22,
15,20,20,14,12,6.4,6.1,1061.5,1059.6,327,337,1.65,2.34,0.82,0.88,1,15,
16,15,15,12,10,5.3,5.2,1004.9,970.6,331,346,0.96,1.2,0.19,0.15,5,6,
17,12,11,9,7,4.8,4.7,928.9,906.9,345,357,0.76,1.04,0.19,0.14,2,1,
18,20,20,17,14,6.7,6.7,1183.2,1177.1,314,341,1.39,1.91,0.57,0.44,4,25,2
19,17,17,13,11,5.5,5.5,1055.6,1049.3,333,353,1.51,1.8,1.07,0.73,1,5,
20,19,18,15,12,5.6,5.5,1080.4,1069,311,335,1.26,1.83,0.58,0.6,1,23,4
21,14,13,10,8,4.9,4.7,983.9,965.1,347,359,1.2,1.44,0.57,0.4,5,1,
22,16,15,12,9,5.7,6,1070.9,1064.7,327,339,1.6,2.04,0.59,0.55,1,5,
