"","Case ID","Income2014","Income2016","Employ2014","Employ2016","BirthWeight2014","BirthWeight2016","Death2014","Death2016","Stage4Capped2014","Stage4Capped2016","Violence2014","Violence2016","Theft2014","Theft2016","Matched Neuron","BMU1","BMU2","BMUN","EUCDIS1","EUCDIS2","EUCDISN"
"1",1,24,27.5,20,16,6.8,6.4,1234.4,1225.7,299,323,1.54,1.232,0.78,0.82,25,25,24,1,152.443946954457,164.060513974247,351.910457986458
"2",2,18,21.25,15,12,5.4,5.4,1132.7,1118,316,339,1.23,0.984,0.66,0.44,22,25,24,1,4.38071417762585,14.3429220851892,201.716565058919
"3",3,20,23.75,16,13,5.8,5.8,1139.4,1118.4,316,331,1.24,0.992,0.59,0.59,23,25,24,1,12.1526867980597,21.966197035133,207.551502776323
"4",4,18,21.25,12,9,5.5,5.3,1028.6,1017.6,317,333,1.66,1.328,1.52,1.16,10,8,4,25,23.6886181492764,23.8011090881359,142.705814074606
"5",5,16,18.75,13,11,5.5,5.4,1065.2,1045.3,332,351,0.97,0.776,0.24,0.16,16,13,17,1,8.38104855105359,10.795049489601,100.94347142941
"6",6,12,15,9,7,4.5,4.4,889,879.1,341,359,0.76,0.608,0.13,0.12,1,1,2,25,141.786523875991,157.940336725726,340.78368964306
"7",7,16,20,13,10,5.4,5.3,981.5,968.1,340,353,1.31,1.048,0.34,0.25,11,1,2,25,13.9984502616524,29.5828367254851,212.52962657751
"8",8,18,22.5,14,11,6.1,5.9,1058.4,1075,336,352,1.64,1.312,0.33,0.3,22,21,10,1,21.7149187649124,23.597581802624,119.515752519234
"9",9,14,16.25,10,8,5.4,5.4,1023.3,1000.3,334,350,0.99,0.792,0.37,0.33,6,7,3,25,6.92620411724469,8.66603518704837,160.204084287965
"10",10,14,16.25,10,8,4.9,4.9,984.2,963.6,344,362,1.25,1,0.29,0.23,1,1,2,25,17.5191668764585,33.0628597243994,215.272293654443
"11",11,17,20,13,10,5.6,5.4,995.4,984.8,339,361,1.06,0.848,0.23,0.18,11,2,1,25,12.4954386649105,12.5710564810863,191.707317653665
"12",12,22,26.25,19,15,6.7,6.6,1189.3,1157,306,340,1.35,1.08,0.9,0.88,25,25,24,1,71.7681628019623,83.2531247934608,270.280962798846
"13",13,11,13.75,9,7,4.9,5,896.7,878.6,344,354,0.8,0.64,0.47,0.49,1,1,2,25,136.632326430234,152.834936842489,335.735307464778
"14",14,20,25,17,14,5.3,5,1119.3,1121,338,356,1.05,0.84,0.62,0.48,21,24,25,1,27.649987769764,30.1483492690583,193.211856786016
"15",15,20,25,14,12,6.4,6.1,1061.5,1059.6,327,337,1.65,1.32,0.82,0.88,20,10,17,1,8.97301194858242,14.6850292678124,111.025680260084
"16",16,15,18.75,12,10,5.3,5.2,1004.9,970.6,331,346,0.96,0.768,0.19,0.15,11,1,2,25,17.0928871891569,19.1906944375087,193.684797116568
"17",17,12,13.75,9,7,4.8,4.7,928.9,906.9,345,357,0.76,0.608,0.19,0.14,1,1,2,25,94.0756217518321,110.374934062762,293.486691899933
"18",18,20,25,17,14,6.7,6.7,1183.2,1177.1,314,341,1.39,1.112,0.57,0.44,25,25,24,1,80.0574256060934,91.3882345568251,279.000445958666
"19",19,17,21.25,13,11,5.5,5.5,1055.6,1049.3,333,353,1.51,1.208,1.07,0.73,9,13,9,25,10.3089185761462,10.9184471588868,103.419847397337
"20",20,19,22.5,15,12,5.6,5.5,1080.4,1069,311,335,1.26,1.008,0.58,0.6,23,14,15,1,15.8893534025937,17.0648283124416,132.753026090572
"21",21,14,16.25,10,8,4.9,4.7,983.9,965.1,347,359,1.2,0.96,0.57,0.4,1,1,2,25,16.8163551828712,32.2466231758763,214.537587127972
"22",22,16,18.75,12,9,5.7,6,1070.9,1064.7,327,339,1.6,1.28,0.59,0.55,9,10,14,1,9.89792082865185,10.3302596534197,120.188000168865
