"","Case ID","Flower","Sepal.L","Sepal.W","Petal.L","Petal.W","Matched Neuron","BMU1","BMU2","BMUN","EUCDIS1","EUCDIS2","EUCDISN"
"1",1,1,5.1,3.5,1.4,0.2,5,5,10,21,29.5848370216579,34.264611083283,112.022977531421
"2",2,2,4.9,3,1.4,0.2,5,5,10,21,28.5885020221954,33.2679866222294,111.024697696295
"3",3,3,4.7,3.2,1.3,0.2,5,5,10,21,27.5911157378656,32.2718282591225,110.031838297999
"4",4,4,4.6,3.1,1.5,0.2,5,5,10,21,26.591336833515,31.270846485931,109.027222797014
"5",5,5,5,3.6,1.4,0.2,5,5,10,21,25.5865540085015,30.2670159052186,108.027635242334
"6",6,6,5.4,3.9,1.7,0.4,5,5,10,21,24.5880587349419,29.2643784480542,107.01388059079
"7",7,7,4.6,3.4,1.4,0.3,5,5,10,21,23.5919644709344,28.2725948110656,106.032437142426
"8",8,8,5,3.4,1.5,0.2,5,5,10,21,22.5846373785689,27.2648731690173,105.025529353549
"9",9,9,4.4,2.9,1.4,0.2,5,5,10,21,21.6050907294091,26.2842757871433,104.038115501078
"10",10,10,4.9,3.1,1.5,0.1,5,5,10,21,20.5889961288251,25.2691973195574,103.029132254232
"11",11,11,5.4,3.7,1.5,0.2,5,5,10,21,19.5881392837134,24.2671508331429,102.025366643728
"12",12,12,4.8,3.4,1.6,0.2,5,5,10,21,18.5870170527088,23.2673278632179,101.02805769409
"13",13,13,4.8,3,1.4,0.1,5,5,10,21,17.5960440405204,22.2767360022834,100.036689244132
"14",14,14,4.3,3,1.1,0.1,5,5,10,21,16.6258319207933,21.3057120080208,99.0581100703098
"15",15,15,5.8,4,1.2,0.2,5,5,10,21,15.6183141591393,20.2932361843724,98.0400092283055
"16",16,16,5.7,4.4,1.5,0.4,5,5,10,21,14.6293156460017,19.2978686084059,97.0321571768789
"17",17,17,5.4,3.9,1.3,0.4,5,5,10,21,13.6023062106052,18.2806684622018,96.0368729492889
"18",18,18,5.1,3.5,1.4,0.3,5,5,10,21,12.5886701191269,17.2709706650613,95.0355913884415
"19",19,19,5.7,3.8,1.7,0.3,5,5,10,21,11.6011791306476,16.273097010827,94.0217409534764
"20",20,20,5.1,3.8,1.5,0.3,5,5,10,21,10.5943845719421,15.2748313465731,93.0359162801795
"21",21,21,5.4,3.4,1.7,0.2,5,5,10,21,9.58574441951519,14.2639836085754,92.0247275146389
"22",22,22,5.1,3.7,1.5,0.4,5,5,10,21,8.59300106883332,13.2736947138016,91.0355139058509
"23",23,23,4.6,3.6,1,0.2,5,5,10,21,7.65030657099483,12.32441161887,90.0683905802187
"24",24,24,5.1,3.3,1.7,0.5,5,5,10,21,6.58457950403099,11.2634988112524,89.0258056844972
